Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team,,,
Gigi Bohling,White Choc,17-Oct-21,2520,149,42,Other,Delish,,,
Wilone O'Kielt,Choco Coated Almonds,17-Oct-21,910,54,564,Bites,Delish,,,
Roddy Speechley,70% Dark Bites,17-Oct-21,5397,416,3155,Bites,Delish,,,
Marney O'Breen,Organic Choco Syrup,17-Oct-21,4263,158,312,Other,Yummies,,,
Beverie Moffet,Caramel Stuffed Bars,17-Oct-21,7637,273,255,Bars,Jucies,,,
Husein Augar,85% Dark Bars,17-Oct-21,15239,953,690,Bars,Yummies,,,
Van Tuxwell,99% Dark & Pure,17-Oct-21,7840,392,2155,Bars,Yummies,,,
Marney O'Breen,Manuka Honey Choco,17-Oct-21,1302,51,455,Other,Yummies,,,
Marney O'Breen,Caramel Stuffed Bars,17-Oct-21,3192,128,109,Bars,Yummies,,,
Van Tuxwell,Organic Choco Syrup,17-Oct-21,4312,188,388,Other,Yummies,,,
Madelene Upcott,Organic Choco Syrup,17-Oct-21,6258,224,458,Other,Jucies,,,
Gigi Bohling,Peanut Butter Cubes,17-Oct-21,7931,418,1889,Bites,Delish,,,
Beverie Moffet,Peanut Butter Cubes,17-Oct-21,2576,129,674,Bites,Jucies,,,
Gunar Cockshoot,Caramel Stuffed Bars,17-Oct-21,623,22,20,Bars,Yummies,,,
Oby Sorrel,Caramel Stuffed Bars,17-Oct-21,7567,292,312,Bars,Jucies,,,
Jan Morforth,Peanut Butter Cubes,18-Oct-21,6363,266,1365,Bites,Delish,,,
Dennison Crosswaite,Peanut Butter Cubes,18-Oct-21,1645,75,385,Bites,Yummies,,,
Camilla Castle,70% Dark Bites,18-Oct-21,12740,980,8967,Bites,Tempo,,,
Karlen McCaffrey,Smooth Sliky Salty,18-Oct-21,6755,483,2473,Bars,Yummies,,,
Kelci Walkden,Fruit & Nut Bars,18-Oct-21,13321,833,1367,Bars,Yummies,,,
Andria Kimpton,Choco Coated Almonds,18-Oct-21,1078,57,726,Bites,Jucies,,,
Dotty Strutley,99% Dark & Pure,18-Oct-21,13104,624,2936,Bars,Delish,,,
Kaine Padly,Manuka Honey Choco,18-Oct-21,10241,366,3235,Other,Delish,,,
Beverie Moffet,85% Dark Bars,19-Oct-21,1904,112,80,Bars,Jucies,,,
Kelci Walkden,Smooth Sliky Salty,19-Oct-21,4116,217,1253,Bars,Yummies,,,
Andria Kimpton,Spicy Special Slims,19-Oct-21,1302,55,562,Bites,Jucies,,,
Gunar Cockshoot,Spicy Special Slims,19-Oct-21,4606,210,1934,Bites,Yummies,,,
Camilla Castle,Eclairs,19-Oct-21,8526,569,1845,Bites,Tempo,,,
Beverie Moffet,Caramel Stuffed Bars,22-Oct-21,13832,577,467,Bars,Jucies,,,
Gunar Cockshoot,Caramel Stuffed Bars,22-Oct-21,10962,392,412,Bars,Yummies,,,
Wilone O'Kielt,Mint Chip Choco,22-Oct-21,5383,317,646,Bars,Delish,,,
Camilla Castle,Baker's Choco Chips,22-Oct-21,2856,179,1263,Bars,Tempo,,,
Beverie Moffet,Organic Choco Syrup,22-Oct-21,2954,96,152,Other,Jucies,,,
Gigi Bohling,Spicy Special Slims,22-Oct-21,14385,600,5470,Bites,Delish,,,
Brien Boise,Eclairs,22-Oct-21,10346,647,1660,Bites,Jucies,,,
Roddy Speechley,Smooth Sliky Salty,22-Oct-21,1568,83,488,Bars,Delish,,,
Husein Augar,Organic Choco Syrup,22-Oct-21,3682,148,308,Other,Yummies,,,
Dennison Crosswaite,After Nines,22-Oct-21,5544,185,1197,Bites,Yummies,,,
Dennison Crosswaite,After Nines,22-Oct-21,252,10,59,Bites,Yummies,,,
Curtice Advani,99% Dark & Pure,22-Oct-21,6230,271,1402,Bars,Delish,,,
Kelci Walkden,After Nines,23-Oct-21,3724,129,982,Bites,Yummies,,,
Dennison Crosswaite,Fruit & Nut Bars,23-Oct-21,5544,427,660,Bars,Yummies,,,
Barr Faughny,Raspberry Choco,23-Oct-21,8624,392,2654,Bars,Yummies,,,
Rafaelita Blaksland,50% Dark Bites,23-Oct-21,4627,515,1327,Bites,Yummies,,,
Barr Faughny,Fruit & Nut Bars,23-Oct-21,13237,1019,1900,Bars,Yummies,,,
Ches Bonnell,Mint Chip Choco,23-Oct-21,3143,158,426,Bars,Tempo,,,
Jehu Rudeforth,Organic Choco Syrup,23-Oct-21,8631,376,703,Other,Tempo,,,
Curtice Advani,Choco Coated Almonds,23-Oct-21,4886,288,3600,Bites,Delish,,,
Madelene Upcott,Almond Choco,23-Oct-21,5012,295,4686,Bars,Jucies,,,
Oby Sorrel,Mint Chip Choco,23-Oct-21,7847,462,973,Bars,Jucies,,,
Barr Faughny,50% Dark Bites,24-Oct-21,2709,301,995,Bites,Yummies,,,
Oby Sorrel,Milk Bars,24-Oct-21,8918,372,701,Bars,Jucies,,,
Dennison Crosswaite,Caramel Stuffed Bars,24-Oct-21,11942,543,508,Bars,Yummies,,,
Ches Bonnell,70% Dark Bites,24-Oct-21,19173,1279,11913,Bites,Tempo,,,
Marney O'Breen,Caramel Stuffed Bars,24-Oct-21,2590,87,92,Bars,Yummies,,,
Marney O'Breen,Raspberry Choco,24-Oct-21,2555,160,1161,Bars,Yummies,,,
Brien Boise,Mint Chip Choco,24-Oct-21,861,46,119,Bars,Jucies,,,
Kaine Padly,Caramel Stuffed Bars,24-Oct-21,11956,544,494,Bars,Delish,,,
Kaine Padly,70% Dark Bites,24-Oct-21,8589,661,5067,Bites,Delish,,,
Gigi Bohling,Peanut Butter Cubes,24-Oct-21,6496,361,1784,Bites,Delish,,,
Oby Sorrel,Milk Bars,24-Oct-21,5299,204,438,Bars,Jucies,,,
Jan Morforth,Choco Coated Almonds,24-Oct-21,4858,324,3419,Bites,Delish,,,
Kelci Walkden,99% Dark & Pure,24-Oct-21,357,19,97,Bars,Yummies,,,
Ches Bonnell,50% Dark Bites,24-Oct-21,5264,405,1213,Bites,Tempo,,,
Andria Kimpton,Spicy Special Slims,24-Oct-21,7896,304,3079,Bites,Jucies,,,
Gigi Bohling,Baker's Choco Chips,24-Oct-21,9548,796,4792,Bars,Delish,,,
Ches Bonnell,Raspberry Choco,24-Oct-21,3024,178,1075,Bars,Tempo,,,
Rafaelita Blaksland,Milk Bars,24-Oct-21,12257,409,786,Bars,Yummies,,,
Gigi Bohling,Milk Bars,24-Oct-21,5327,184,408,Bars,Delish,,,
Madelene Upcott,After Nines,24-Oct-21,784,33,207,Bites,Jucies,,,
Ches Bonnell,85% Dark Bars,25-Oct-21,5824,278,192,Bars,Tempo,,,
Camilla Castle,Peanut Butter Cubes,25-Oct-21,11354,494,2534,Bites,Tempo,,,
Husein Augar,Baker's Choco Chips,25-Oct-21,7245,725,5070,Bars,Yummies,,,
Marney O'Breen,Fruit & Nut Bars,25-Oct-21,2870,160,298,Bars,Yummies,,,
Camilla Castle,Orange Choco,25-Oct-21,721,91,776,Bars,Tempo,,,
Wilone O'Kielt,Milk Bars,25-Oct-21,1274,42,72,Bars,Delish,,,
Kelci Walkden,Almond Choco,25-Oct-21,12187,717,11102,Bars,Yummies,,,
Beverie Moffet,Mint Chip Choco,25-Oct-21,17969,899,2302,Bars,Jucies,,,
Beverie Moffet,Caramel Stuffed Bars,25-Oct-21,2471,103,97,Bars,Jucies,,,
Jan Morforth,85% Dark Bars,25-Oct-21,2296,100,77,Bars,Delish,,,
Mallorie Waber,Almond Choco,25-Oct-21,10801,636,9424,Bars,Tempo,,,
Barr Faughny,Drinking Coco,25-Oct-21,3031,117,310,Other,Yummies,,,
Barr Faughny,Fruit & Nut Bars,25-Oct-21,112,11,21,Bars,Yummies,,,
Gunar Cockshoot,Caramel Stuffed Bars,25-Oct-21,329,14,12,Bars,Yummies,,,
Gunar Cockshoot,Fruit & Nut Bars,25-Oct-21,9590,600,861,Bars,Yummies,,,
Andria Kimpton,Drinking Coco,25-Oct-21,3220,115,331,Other,Jucies,,,
Wilone O'Kielt,After Nines,25-Oct-21,9660,358,2724,Bites,Delish,,,
Ches Bonnell,White Choc,25-Oct-21,9737,886,207,Other,Tempo,,,
Gigi Bohling,Baker's Choco Chips,25-Oct-21,3899,488,2997,Bars,Delish,,,
Brien Boise,Manuka Honey Choco,26-Oct-21,1477,48,402,Other,Jucies,,,
Kelci Walkden,Spicy Special Slims,26-Oct-21,4242,152,1288,Bites,Yummies,,,
Camilla Castle,70% Dark Bites,26-Oct-21,8946,895,6787,Bites,Tempo,,,
Camilla Castle,Orange Choco,26-Oct-21,14504,1813,16887,Bars,Tempo,,,
Kelci Walkden,Manuka Honey Choco,26-Oct-21,6433,202,1674,Other,Yummies,,,
Curtice Advani,After Nines,26-Oct-21,9261,343,2175,Bites,Delish,,,
Oby Sorrel,85% Dark Bars,26-Oct-21,756,38,30,Bars,Jucies,,,
Gunar Cockshoot,Baker's Choco Chips,26-Oct-21,4018,447,3153,Bars,Yummies,,,
Karlen McCaffrey,99% Dark & Pure,26-Oct-21,168,9,45,Bars,Yummies,,,
Gunar Cockshoot,Caramel Stuffed Bars,26-Oct-21,4004,149,122,Bars,Yummies,,,
Jan Morforth,99% Dark & Pure,26-Oct-21,6272,299,1588,Bars,Delish,,,
Ches Bonnell,70% Dark Bites,26-Oct-21,5215,348,2582,Bites,Tempo,,,
Gunar Cockshoot,Spicy Special Slims,26-Oct-21,3094,148,1363,Bites,Yummies,,,
Mallorie Waber,99% Dark & Pure,26-Oct-21,9324,583,2689,Bars,Tempo,,,
Van Tuxwell,Organic Choco Syrup,26-Oct-21,20447,758,1229,Other,Yummies,,,
Kaine Padly,Baker's Choco Chips,26-Oct-21,14189,1183,8561,Bars,Delish,,,
Jan Morforth,Smooth Sliky Salty,26-Oct-21,6503,434,2375,Bars,Delish,,,
Curtice Advani,Fruit & Nut Bars,26-Oct-21,2212,202,290,Bars,Delish,,,
Husein Augar,Choco Coated Almonds,26-Oct-21,2975,142,1515,Bites,Yummies,,,
Dotty Strutley,White Choc,29-Oct-21,4788,342,86,Other,Delish,,,
Jan Morforth,White Choc,29-Oct-21,9604,565,152,Other,Delish,,,
Mallorie Waber,Drinking Coco,29-Oct-21,616,24,60,Other,Tempo,,,
Oby Sorrel,50% Dark Bites,29-Oct-21,7644,695,2218,Bites,Jucies,,,
Kaine Padly,50% Dark Bites,29-Oct-21,4193,263,692,Bites,Delish,,,
Madelene Upcott,Mint Chip Choco,29-Oct-21,6132,307,758,Bars,Jucies,,,
Oby Sorrel,Smooth Sliky Salty,29-Oct-21,7896,376,1736,Bars,Jucies,,,
Jehu Rudeforth,Organic Choco Syrup,29-Oct-21,2576,96,162,Other,Tempo,,,
Jan Morforth,Raspberry Choco,29-Oct-21,2821,157,881,Bars,Delish,,,
Kaine Padly,After Nines,29-Oct-21,12103,485,2922,Bites,Delish,,,
Dennison Crosswaite,Smooth Sliky Salty,29-Oct-21,5271,377,2214,Bars,Yummies,,,
Karlen McCaffrey,Baker's Choco Chips,29-Oct-21,5117,512,3269,Bars,Yummies,,,
Ches Bonnell,Orange Choco,30-Oct-21,4767,434,4004,Bars,Tempo,,,
Wilone O'Kielt,Caramel Stuffed Bars,30-Oct-21,20076,670,608,Bars,Delish,,,
Camilla Castle,Eclairs,30-Oct-21,2583,185,553,Bites,Tempo,,,
Oby Sorrel,Orange Choco,30-Oct-21,14210,2030,20335,Bars,Jucies,,,
Barr Faughny,Baker's Choco Chips,30-Oct-21,4403,315,1916,Bars,Yummies,,,
Gunar Cockshoot,Spicy Special Slims,30-Oct-21,12985,619,5130,Bites,Yummies,,,
Dotty Strutley,85% Dark Bars,30-Oct-21,1358,68,45,Bars,Delish,,,
Barr Faughny,Baker's Choco Chips,30-Oct-21,203,19,133,Bars,Yummies,,,
Curtice Advani,Eclairs,30-Oct-21,1281,99,290,Bites,Delish,,,
Jehu Rudeforth,Organic Choco Syrup,30-Oct-21,13475,539,950,Other,Tempo,,,
Beverie Moffet,White Choc,30-Oct-21,1547,119,29,Other,Jucies,,,
Wilone O'Kielt,Almond Choco,31-Oct-21,6013,317,4824,Bars,Delish,,,
Oby Sorrel,70% Dark Bites,31-Oct-21,10703,1071,10417,Bites,Jucies,,,
Brien Boise,After Nines,31-Oct-21,7630,306,1805,Bites,Jucies,,,
Mallorie Waber,Eclairs,31-Oct-21,5369,384,1126,Bites,Tempo,,,
Gunar Cockshoot,Choco Coated Almonds,31-Oct-21,7917,360,4500,Bites,Yummies,,,
Dennison Crosswaite,Eclairs,31-Oct-21,259,17,52,Bites,Yummies,,,
Brien Boise,Organic Choco Syrup,01-Nov-21,3115,112,205,Other,Jucies,,,
Dotty Strutley,Eclairs,01-Nov-21,10731,537,1711,Bites,Delish,,,
Madelene Upcott,Eclairs,01-Nov-21,2352,181,475,Bites,Jucies,,,
Gunar Cockshoot,99% Dark & Pure,01-Nov-21,5138,303,1525,Bars,Yummies,,,
Rafaelita Blaksland,Orange Choco,01-Nov-21,1428,102,1067,Bars,Yummies,,,
Kaine Padly,85% Dark Bars,01-Nov-21,3598,157,110,Bars,Delish,,,
Wilone O'Kielt,Eclairs,01-Nov-21,10528,555,1487,Bites,Delish,,,
Kelci Walkden,After Nines,02-Nov-21,2100,70,431,Bites,Yummies,,,
Mallorie Waber,Milk Bars,02-Nov-21,6797,262,508,Bars,Tempo,,,
Dotty Strutley,Caramel Stuffed Bars,02-Nov-21,6202,249,251,Bars,Delish,,,
Gigi Bohling,Milk Bars,02-Nov-21,8001,348,591,Bars,Delish,,,
Ches Bonnell,Mint Chip Choco,02-Nov-21,13832,814,2084,Bars,Tempo,,,
Jan Morforth,70% Dark Bites,02-Nov-21,1568,121,968,Bites,Delish,,,
Jan Morforth,Drinking Coco,02-Nov-21,3129,112,305,Other,Delish,,,
Gigi Bohling,After Nines,02-Nov-21,6944,278,1710,Bites,Delish,,,
Dotty Strutley,Organic Choco Syrup,02-Nov-21,7672,265,425,Other,Delish,,,
Ches Bonnell,99% Dark & Pure,02-Nov-21,4137,197,1092,Bars,Tempo,,,
Dotty Strutley,Almond Choco,02-Nov-21,1365,72,1067,Bars,Delish,,,
Karlen McCaffrey,Raspberry Choco,02-Nov-21,7238,453,3094,Bars,Yummies,,,
Dotty Strutley,Almond Choco,02-Nov-21,10500,457,6710,Bars,Delish,,,
Madelene Upcott,Smooth Sliky Salty,02-Nov-21,6790,453,2069,Bars,Jucies,,,
Dotty Strutley,70% Dark Bites,02-Nov-21,7203,515,3821,Bites,Delish,,,
Jehu Rudeforth,Baker's Choco Chips,02-Nov-21,6202,443,3206,Bars,Tempo,,,
Dennison Crosswaite,White Choc,05-Nov-21,8351,696,194,Other,Yummies,,,
Roddy Speechley,70% Dark Bites,05-Nov-21,980,109,1033,Bites,Delish,,,
Husein Augar,85% Dark Bars,05-Nov-21,12908,562,422,Bars,Yummies,,,
Andria Kimpton,70% Dark Bites,05-Nov-21,4473,320,3060,Bites,Jucies,,,
Wilone O'Kielt,Manuka Honey Choco,06-Nov-21,3066,93,881,Other,Delish,,,
Marney O'Breen,Drinking Coco,06-Nov-21,4053,177,482,Other,Yummies,,,
Wilone O'Kielt,99% Dark & Pure,06-Nov-21,3024,152,722,Bars,Delish,,,
Jan Morforth,Organic Choco Syrup,07-Nov-21,2100,68,134,Other,Delish,,,
Oby Sorrel,Spicy Special Slims,07-Nov-21,2555,112,1155,Bites,Jucies,,,
Andria Kimpton,Organic Choco Syrup,07-Nov-21,6559,243,475,Other,Jucies,,,
Beverie Moffet,Eclairs,07-Nov-21,8176,390,1122,Bites,Jucies,,,
Wilone O'Kielt,Almond Choco,07-Nov-21,17675,884,11092,Bars,Delish,,,
Madelene Upcott,Baker's Choco Chips,07-Nov-21,11004,1223,7065,Bars,Jucies,,,
Camilla Castle,Milk Bars,07-Nov-21,2233,77,142,Bars,Tempo,,,
Gigi Bohling,Milk Bars,07-Nov-21,16359,712,1341,Bars,Delish,,,
Curtice Advani,70% Dark Bites,07-Nov-21,3192,228,1748,Bites,Delish,,,
Dotty Strutley,Eclairs,07-Nov-21,5313,380,964,Bites,Delish,,,
Beverie Moffet,Raspberry Choco,07-Nov-21,1841,97,663,Bars,Jucies,,,
Dennison Crosswaite,Spicy Special Slims,07-Nov-21,9884,396,3647,Bites,Yummies,,,
Wilone O'Kielt,White Choc,07-Nov-21,3066,205,55,Other,Delish,,,
Andria Kimpton,Manuka Honey Choco,07-Nov-21,11207,362,2942,Other,Jucies,,,
Husein Augar,50% Dark Bites,07-Nov-21,6321,452,1392,Bites,Yummies,,,
Brien Boise,Orange Choco,07-Nov-21,5299,663,6408,Bars,Jucies,,,
Dennison Crosswaite,Choco Coated Almonds,08-Nov-21,11578,552,5951,Bites,Yummies,,,
Camilla Castle,99% Dark & Pure,08-Nov-21,4298,239,1080,Bars,Tempo,,,
Marney O'Breen,Baker's Choco Chips,08-Nov-21,9548,682,3940,Bars,Yummies,,,
Brien Boise,Spicy Special Slims,08-Nov-21,5663,236,2021,Bites,Jucies,,,
Brien Boise,Spicy Special Slims,08-Nov-21,329,15,131,Bites,Jucies,,,
Brien Boise,Mint Chip Choco,08-Nov-21,9275,489,1097,Bars,Jucies,,,
Karlen McCaffrey,After Nines,08-Nov-21,77,3,17,Bites,Yummies,,,
Brien Boise,Raspberry Choco,08-Nov-21,4256,224,1530,Bars,Jucies,,,
Van Tuxwell,Almond Choco,09-Nov-21,4018,237,3480,Bars,Yummies,,,
Kelci Walkden,Mint Chip Choco,09-Nov-21,6699,479,1107,Bars,Yummies,,,
Roddy Speechley,85% Dark Bars,09-Nov-21,4571,241,198,Bars,Delish,,,
Gigi Bohling,85% Dark Bars,09-Nov-21,4193,200,125,Bars,Delish,,,
Madelene Upcott,Orange Choco,09-Nov-21,392,28,251,Bars,Jucies,,,
Husein Augar,Almond Choco,09-Nov-21,3192,146,2046,Bars,Yummies,,,
Gigi Bohling,Peanut Butter Cubes,09-Nov-21,154,7,33,Bites,Delish,,,
Curtice Advani,Drinking Coco,09-Nov-21,5502,212,588,Other,Delish,,,
Dotty Strutley,Orange Choco,09-Nov-21,4389,439,3896,Bars,Delish,,,
Ches Bonnell,99% Dark & Pure,09-Nov-21,12215,764,3417,Bars,Tempo,,,
Jan Morforth,Orange Choco,09-Nov-21,1960,140,1156,Bars,Delish,,,
Van Tuxwell,Fruit & Nut Bars,09-Nov-21,994,77,125,Bars,Yummies,,,
Beverie Moffet,Spicy Special Slims,09-Nov-21,3731,150,1312,Bites,Jucies,,,
Jehu Rudeforth,Peanut Butter Cubes,12-Nov-21,11851,456,2125,Bites,Tempo,,,
Madelene Upcott,Manuka Honey Choco,12-Nov-21,7798,289,2212,Other,Jucies,,,
Brien Boise,99% Dark & Pure,12-Nov-21,658,32,145,Bars,Jucies,,,
Madelene Upcott,Baker's Choco Chips,12-Nov-21,18963,1355,7663,Bars,Jucies,,,
Brien Boise,99% Dark & Pure,12-Nov-21,574,34,168,Bars,Jucies,,,
Karlen McCaffrey,Manuka Honey Choco,12-Nov-21,763,28,201,Other,Yummies,,,
Marney O'Breen,50% Dark Bites,12-Nov-21,1295,108,345,Bites,Yummies,,,
Karlen McCaffrey,Spicy Special Slims,12-Nov-21,1281,61,517,Bites,Yummies,,,
Beverie Moffet,Baker's Choco Chips,12-Nov-21,6657,606,4238,Bars,Jucies,,,
Marney O'Breen,Mint Chip Choco,12-Nov-21,1533,110,284,Bars,Yummies,,,
Mallorie Waber,99% Dark & Pure,12-Nov-21,2534,121,586,Bars,Tempo,,,
Van Tuxwell,White Choc,12-Nov-21,3808,224,53,Other,Yummies,,,
Andria Kimpton,99% Dark & Pure,12-Nov-21,7637,425,2356,Bars,Jucies,,,
Karlen McCaffrey,50% Dark Bites,13-Nov-21,5397,416,1363,Bites,Yummies,,,
Barr Faughny,Organic Choco Syrup,13-Nov-21,5649,202,406,Other,Yummies,,,
Oby Sorrel,Drinking Coco,13-Nov-21,2996,116,342,Other,Jucies,,,
Wilone O'Kielt,Organic Choco Syrup,13-Nov-21,2247,87,147,Other,Delish,,,
Andria Kimpton,Orange Choco,13-Nov-21,1092,84,686,Bars,Jucies,,,
Jan Morforth,Mint Chip Choco,13-Nov-21,4368,292,629,Bars,Delish,,,
Barr Faughny,White Choc,13-Nov-21,868,87,22,Other,Yummies,,,
Kaine Padly,Milk Bars,13-Nov-21,8729,364,720,Bars,Delish,,,
Jan Morforth,99% Dark & Pure,13-Nov-21,2065,130,624,Bars,Delish,,,
Kaine Padly,99% Dark & Pure,13-Nov-21,6293,274,1455,Bars,Delish,,,
Gigi Bohling,70% Dark Bites,13-Nov-21,7602,761,6085,Bites,Delish,,,
Marney O'Breen,Almond Choco,13-Nov-21,10150,598,8062,Bars,Yummies,,,
Brien Boise,Almond Choco,13-Nov-21,11081,739,11344,Bars,Jucies,,,
Dotty Strutley,Raspberry Choco,13-Nov-21,588,27,175,Bars,Delish,,,
Jehu Rudeforth,70% Dark Bites,13-Nov-21,3710,413,3915,Bites,Tempo,,,
Roddy Speechley,Raspberry Choco,14-Nov-21,371,27,153,Bars,Delish,,,
Mallorie Waber,85% Dark Bars,14-Nov-21,2254,119,89,Bars,Tempo,,,
Karlen McCaffrey,Peanut Butter Cubes,14-Nov-21,2345,112,548,Bites,Yummies,,,
Barr Faughny,50% Dark Bites,14-Nov-21,18473,2053,6553,Bites,Yummies,,,
Wilone O'Kielt,Organic Choco Syrup,14-Nov-21,1680,58,120,Other,Delish,,,
Rafaelita Blaksland,85% Dark Bars,14-Nov-21,4508,215,138,Bars,Yummies,,,
Dennison Crosswaite,Raspberry Choco,15-Nov-21,8463,385,2207,Bars,Yummies,,,
Beverie Moffet,Baker's Choco Chips,15-Nov-21,931,117,768,Bars,Jucies,,,
Jan Morforth,Eclairs,15-Nov-21,12460,623,1616,Bites,Delish,,,
Dennison Crosswaite,Milk Bars,15-Nov-21,868,37,68,Bars,Yummies,,,
Mallorie Waber,Manuka Honey Choco,15-Nov-21,301,13,112,Other,Tempo,,,
Brien Boise,Baker's Choco Chips,15-Nov-21,434,37,234,Bars,Jucies,,,
Rafaelita Blaksland,Peanut Butter Cubes,15-Nov-21,2058,115,628,Bites,Yummies,,,
Camilla Castle,White Choc,15-Nov-21,9597,873,200,Other,Tempo,,,
Marney O'Breen,Almond Choco,16-Nov-21,13314,784,9837,Bars,Yummies,,,
Mallorie Waber,Baker's Choco Chips,16-Nov-21,630,70,430,Bars,Tempo,,,
Wilone O'Kielt,Raspberry Choco,16-Nov-21,8918,446,2774,Bars,Delish,,,
Kelci Walkden,Manuka Honey Choco,16-Nov-21,7133,223,1760,Other,Yummies,,,
Van Tuxwell,Fruit & Nut Bars,16-Nov-21,1638,97,158,Bars,Yummies,,,
Marney O'Breen,50% Dark Bites,16-Nov-21,8253,551,1404,Bites,Yummies,,,
Dennison Crosswaite,Milk Bars,16-Nov-21,5950,192,340,Bars,Yummies,,,
Jan Morforth,50% Dark Bites,16-Nov-21,7000,875,2401,Bites,Delish,,,
Kelci Walkden,Organic Choco Syrup,16-Nov-21,2030,89,144,Other,Yummies,,,
Van Tuxwell,Almond Choco,16-Nov-21,8337,439,6680,Bars,Yummies,,,
Gunar Cockshoot,Milk Bars,16-Nov-21,1876,79,143,Bars,Yummies,,,
Andria Kimpton,Eclairs,16-Nov-21,9352,446,1383,Bites,Jucies,,,
Dennison Crosswaite,50% Dark Bites,16-Nov-21,5621,625,1838,Bites,Yummies,,,
Gunar Cockshoot,Orange Choco,16-Nov-21,6062,674,7048,Bars,Yummies,,,
Rafaelita Blaksland,Raspberry Choco,16-Nov-21,5054,266,1476,Bars,Yummies,,,
Brien Boise,After Nines,16-Nov-21,7581,237,1698,Bites,Jucies,,,
Jan Morforth,Spicy Special Slims,16-Nov-21,7763,353,3738,Bites,Delish,,,
Dotty Strutley,White Choc,16-Nov-21,9387,626,160,Other,Delish,,,
Barr Faughny,85% Dark Bars,16-Nov-21,966,57,46,Bars,Yummies,,,
Karlen McCaffrey,Almond Choco,16-Nov-21,5278,278,4342,Bars,Yummies,,,
Beverie Moffet,White Choc,16-Nov-21,18354,1669,442,Other,Jucies,,,
Marney O'Breen,Spicy Special Slims,16-Nov-21,1330,61,595,Bites,Yummies,,,
Roddy Speechley,Eclairs,16-Nov-21,1155,83,229,Bites,Delish,,,
Rafaelita Blaksland,Orange Choco,16-Nov-21,4669,667,6623,Bars,Yummies,,,
Ches Bonnell,Fruit & Nut Bars,16-Nov-21,4676,293,453,Bars,Tempo,,,
Husein Augar,After Nines,16-Nov-21,602,21,120,Bites,Yummies,,,
Jehu Rudeforth,99% Dark & Pure,19-Nov-21,13090,770,3301,Bars,Tempo,,,
Kelci Walkden,Drinking Coco,19-Nov-21,11928,459,1296,Other,Yummies,,,
Andria Kimpton,After Nines,19-Nov-21,4634,145,1085,Bites,Jucies,,,
Dennison Crosswaite,Smooth Sliky Salty,19-Nov-21,5292,252,1189,Bars,Yummies,,,
Beverie Moffet,Peanut Butter Cubes,19-Nov-21,9065,378,1726,Bites,Jucies,,,
Wilone O'Kielt,Spicy Special Slims,19-Nov-21,12299,560,5930,Bites,Delish,,,
Husein Augar,Manuka Honey Choco,19-Nov-21,6818,273,2133,Other,Yummies,,,
Dennison Crosswaite,Smooth Sliky Salty,19-Nov-21,3773,252,1240,Bars,Yummies,,,
Jan Morforth,50% Dark Bites,19-Nov-21,5138,367,1223,Bites,Delish,,,
Andria Kimpton,Smooth Sliky Salty,19-Nov-21,4557,269,1269,Bars,Jucies,,,
Barr Faughny,Almond Choco,19-Nov-21,2751,138,1805,Bars,Yummies,,,
Madelene Upcott,70% Dark Bites,19-Nov-21,10906,779,6807,Bites,Jucies,,,
Oby Sorrel,Choco Coated Almonds,19-Nov-21,5621,256,3259,Bites,Jucies,,,
Jan Morforth,85% Dark Bars,20-Nov-21,2471,155,114,Bars,Delish,,,
Gigi Bohling,White Choc,20-Nov-21,6139,410,105,Other,Delish,,,
Karlen McCaffrey,Drinking Coco,20-Nov-21,2807,128,336,Other,Yummies,,,
Madelene Upcott,Raspberry Choco,20-Nov-21,8169,454,3322,Bars,Jucies,,,
Jan Morforth,Mint Chip Choco,20-Nov-21,8785,586,1487,Bars,Delish,,,
Barr Faughny,Peanut Butter Cubes,20-Nov-21,5628,256,1145,Bites,Yummies,,,
Husein Augar,White Choc,20-Nov-21,1302,77,17,Other,Yummies,,,
Madelene Upcott,Peanut Butter Cubes,20-Nov-21,9282,387,1803,Bites,Jucies,,,
Wilone O'Kielt,Manuka Honey Choco,20-Nov-21,4046,162,1253,Other,Delish,,,
Jehu Rudeforth,Drinking Coco,20-Nov-21,10605,442,1139,Other,Tempo,,,
Curtice Advani,50% Dark Bites,20-Nov-21,5929,539,1358,Bites,Delish,,,
Ches Bonnell,Manuka Honey Choco,20-Nov-21,2611,105,961,Other,Tempo,,,
Gunar Cockshoot,Baker's Choco Chips,20-Nov-21,7686,769,5518,Bars,Yummies,,,
Kaine Padly,White Choc,20-Nov-21,2786,164,40,Other,Delish,,,
Jehu Rudeforth,70% Dark Bites,20-Nov-21,4123,516,4381,Bites,Tempo,,,
Rafaelita Blaksland,Choco Coated Almonds,20-Nov-21,1477,78,1029,Bites,Yummies,,,
Gigi Bohling,Caramel Stuffed Bars,20-Nov-21,12040,416,408,Bars,Delish,,,
Jan Morforth,Fruit & Nut Bars,20-Nov-21,4340,310,563,Bars,Delish,,,
Kelci Walkden,Choco Coated Almonds,20-Nov-21,2639,126,1532,Bites,Yummies,,,
Dotty Strutley,Orange Choco,21-Nov-21,7931,1322,11500,Bars,Delish,,,
Jan Morforth,Drinking Coco,21-Nov-21,1078,45,107,Other,Delish,,,
Beverie Moffet,85% Dark Bars,21-Nov-21,8680,362,239,Bars,Jucies,,,
